phi,delta,H,G
0.12750711951229654,-0.10866949804724513,4.1378966474436005,12.526816165419469
0.12834737185698414,-0.1088200165097666,4.100885188620041,12.562599935217838
0.12919172456336506,-0.1089579422821696,4.063569810611657,12.597787402730509
0.13004014173565726,-0.10908323757914096,4.0259517375096845,12.632375235331269
0.13089258717517915,-0.10919586536738626,3.9880322141462865,12.666360134023062
0.13174902438034974,-0.10929578936562993,3.949812506094553,12.699738833438012
0.13260941654668845,-0.10938297404461525,3.911293899668501,12.732508101837396
0.13347372656681525,-0.10945738462710426,3.8724777019230734,12.764664741111668
0.13434191703045065,-0.10951898708787787,3.8333652406541416,12.796205586780445
0.1352139502244156,-0.10956774815373577,3.793957864398502,12.827127507992515
0.1360897881326316,-0.10960363530349651,3.754256942433879,12.857427407525833
0.1369693924361206,-0.10962661676799743,3.7142638647789235,12.887102221787519
0.13785272451300515,-0.10963666153009467,3.6739800421932127,12.91614892081386
0.1387397454385082,-0.10963373932466326,3.633406906177251,12.944564508270318
0.1396304159849533,-0.10961782063859699,3.59254590897247,12.972346021451507
0.14052469662176445,-0.10958887671080848,3.5513985235612275,12.999490531281223
0.14142254751546615,-0.10954687953222918,3.5099662436668098,13.025995142312428
0.14232392852968342,-0.10949180184580935,3.468250583753427,13.05185699272724
0.14322879922514184,-0.10942361714651808,3.4262530790262185,13.077073254336959
0.1441371188596674,-0.10934229968134326,3.383975285431248,13.101641132582046
0.14504884638818666,-0.10924782444929164,3.341418779655511,13.12555786653212
0.14596394046272665,-0.10914016720138874,3.298585159126923,13.148820728885985
0.14688235943241493,-0.10901930444067892,3.255476042014332,13.171427025971601
0.14780406134347956,-0.10888521342222539,3.2120930672275096,13.1933740977461
0.1487290039392491,-0.10873787215311011,3.168437894417156,13.214659317795777
0.14965714466015262,-0.10857725939243391,3.124512203974898,13.235280093336101
0.1505884406437197,-0.10840335465131645,3.0803176970332866,13.255233865211704
0.1515228487245804,-0.10821613819289619,3.035856095465803,13.274518107896384
0.15246032543446536,-0.10801559103233037,2.991129141886854,13.293130329493106
0.15340082700220561,-0.10780169493679512,2.9461385996517726,13.311068071734013
0.15434430935373278,-0.10757443242548537,2.9008862528568207,13.328328909980403
0.15529072811207895,-0.1073337867696148,2.855373906339184,13.344910453222743
0.15624003859737676,-0.10707974199241602,2.8096033856769753,13.360810344080678
0.15719219582685928,-0.10681228286914039,2.763576537189239,13.376026258803003
0.1581471545148602,-0.1065313949270581,2.717295227935939,13.390555907267697
0.15910486907281357,-0.10623706444545815,2.67076134571797,13.404397032981896
0.1600652936092542,-0.10592927845564837,2.6239767990771523,13.417547413081914
0.1610283819298168,-0.1056080247409555,2.576943517296246,13.430004858333215
0.1619940875372376,-0.10527329183672485,2.5296634503989046,13.44176721313045
0.16296236363135214,-0.10492506903032091,2.4821385691497535,13.452832355497423
0.16393316310909767,-0.10456334636112659,2.434370865054298,13.463198197087111
0.1649064385645108,-0.10418811462054399,2.3863623503590143,13.472862683181662
0.16588214228872966,-0.10379936535199373,2.3381150580512666,13.481823792692389
0.16686022626999203,-0.1033970908509155,2.2896310418593804,13.490079538159764
0.16784064219363695,-0.10298128416476754,2.240912376252573,13.497627965753436
0.16882334144210323,-0.10255193909302723,2.191961156441028,13.504467155272222
0.16980827509493096,-0.10210905018719044,2.1427794983758135,13.510595220144102
0.17079539392875992,-0.10165261275077216,2.093369538748968,13.516010307426223
0.1717846484173312,-0.10118262283930589,2.043733434993411,13.520710597804904
0.17277598873148564,-0.10069907726034431,1.9938733652830347,13.524694305595629
0.17376936473916532,-0.10020197357345852,1.9437915285326166,13.527959678743047
0.17476472600541207,-0.09969131009023886,1.8934901443978973,13.530504998820977
0.175762021792369,-0.09916708587429406,1.84297145327551,13.532328581032404
0.17676120105927895,-0.09862930074125209,1.792237716303051,13.533428774209487
0.17776221246248602,-0.09807795525875933,1.7412912153590008,13.533803960813541
0.17876500435543413,-0.09751305074648138,1.6901342530628174,13.533452556935051
0.17976952478866834,-0.09693458927610225,1.6387691527748316,13.532373012293686
0.18077572150983354,-0.09634257367132522,1.5871982585963509,13.530563810238258
0.18178354196367588,-0.0957370075078719,1.5354239353695667,13.528023467746763
0.18279293329204122,-0.09511789511348323,1.4834485686776369,13.524750535426353
0.1838038423338765,-0.09448524156791857,1.4312745648446157,13.520743597513361
0.18481621562522926,-0.0938390527029561,1.378904350935483,13.516001271873273
0.18582999939924683,-0.09317933510239325,1.326340374756182,13.510522210000754
0.18684513958617788,-0.09250609610204567,1.2735851048535325,13.504305097019632
0.18786158181337081,-0.09181934378974846,1.22064103051533,13.497348651682907
0.18887927140527538,-0.09111908700535491,1.1675106617702546,13.48965162637273
0.18989815338344093,-0.09040533534073775,1.1141965293879514,13.481212807100436
0.19091817246651815,-0.08967809913978786,1.0607011848789494,13.472031013506525
0.1919392730702575,-0.08893738949841562,1.0070272004947511,13.462105098860665
0.19296139930751066,-0.08818321826454963,0.9531771692277424,13.451433950061675
0.1939844949882291,-0.08741559803813787,0.899153704811276,13.44001648763757
0.19500850361946548,-0.08663454217114655,0.8449594417195881,13.427851665745509
0.19603336840537233,-0.0858400647675613,0.790597035167895,13.414938472171833
0.1970590322472033,-0.08503218068338596,0.7360691611122812,13.401275928332039
0.19808543774331186,-0.08421090552664383,0.6813785162498109,13.386863089270797
0.19911252718915284,-0.08337625565737636,0.6265278180184288,13.371699043661941
0.20014024257728058,-0.08252824818764451,0.5715198045970528,13.355782913808488
0.2011685255973509,-0.08166690098152737,0.5163572349054784,13.339113855642594
0.20219731763611926,-0.08079223265512353,0.4610428886044785,13.32169105872561
0.20322655977744247,-0.07990426257654969,0.40557956609570334,13.303513746248036
0.20425619280227694,-0.07900301086594214,0.34997008852177736,13.284581175029553
0.20528615718868054,-0.07808849839545516,0.29421729776620453,13.264892635518994
0.20631639311181071,-0.07716074678926271,0.2383240564534654,13.24444745179438
0.20734684044392626,-0.0762197784235567,0.18229324794891513,13.223244981562875
0.20837743875438564,-0.07526561642654873,0.1261277763588872,13.201284616160828
0.2094081273096488,-0.07429828467846836,0.0698305665305945,13.178565780553754
0.2104388450732751,-0.0733178078115648,0.013404564052221693,13.155087933336327
0.21146953070592545,-0.07232421121010527,-0.04314726474716757,13.130850566732397
0.21250012256536033,-0.07131752101037665,-0.09982193279753303,13.105853206594974
